Date : 2025-08-01 17:15:33
Directory : /Users/kuben/projects/surge/surgelight
Total : 271 files,  31754 codes, 969 comments, 2580 blanks, all 35303 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |        154 |     16,370 |        449 |      1,523 |     18,342 |
| JSON               |          4 |      9,308 |          0 |          2 |      9,310 |
| TypeScript         |         96 |      5,403 |        399 |        945 |      6,747 |
| Markdown           |          1 |        384 |          0 |         73 |        457 |
| CSS                |          1 |        119 |          0 |          7 |        126 |
| JavaScript         |          7 |        108 |        111 |         24 |        243 |
| JSON with Comments |          2 |         53 |         10 |          6 |         69 |
| XML                |          5 |          5 |          0 |          0 |          5 |
| Makefile           |          1 |          4 |          0 |          0 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                            |        271 |     31,754 |        969 |      2,580 |     35,303 |
| . (Files)                                                                                                    |         11 |      9,880 |         10 |         89 |      9,979 |
| .claude                                                                                                      |          1 |         19 |          0 |          0 |         19 |
| convex                                                                                                       |         16 |      2,684 |        328 |        498 |      3,510 |
| convex (Files)                                                                                               |         11 |      2,594 |         85 |        463 |      3,142 |
| convex/_generated                                                                                            |          5 |         90 |        243 |         35 |        368 |
| public                                                                                                       |          5 |          5 |          0 |          0 |          5 |
| src                                                                                                          |        238 |     19,166 |        631 |      1,993 |     21,790 |
| src (Files)                                                                                                  |          2 |         37 |         30 |         10 |         77 |
| src/app                                                                                                      |         27 |        934 |         68 |        174 |      1,176 |
| src/app (Files)                                                                                              |          3 |        221 |          2 |         19 |        242 |
| src/app/(auth)                                                                                               |          2 |         26 |          0 |          8 |         34 |
| src/app/(auth)/sign-in                                                                                       |          1 |         16 |          0 |          3 |         19 |
| src/app/(auth)/sign-in/[[...sign-in]]                                                                        |          1 |         16 |          0 |          3 |         19 |
| src/app/(auth)/sign-up                                                                                       |          1 |         10 |          0 |          5 |         15 |
| src/app/(auth)/sign-up/[[...sign-up]]                                                                        |          1 |         10 |          0 |          5 |         15 |
| src/app/(dashboard)                                                                                          |         11 |         22 |          0 |         11 |         33 |
| src/app/(dashboard)/analytics                                                                                |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/campaign                                                                                 |          4 |          8 |          0 |          4 |         12 |
| src/app/(dashboard)/campaign (Files)                                                                         |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/campaign/[id]                                                                            |          2 |          4 |          0 |          2 |          6 |
| src/app/(dashboard)/campaign/[id] (Files)                                                                    |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/campaign/[id]/analytics                                                                  |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/campaign/create                                                                          |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/pricing                                                                                  |          1 |          2 |          0 |          1 |          3 |
| src/app/(dashboard)/reports                                                                                  |          4 |          8 |          0 |          4 |         12 |
| src/app/(dashboard)/reports (Files)                                                                          |          1 |          2 |          0 |          1 |          3 |
